COMMUNE_ID,DISTRICT_I,Province_I,NAME_VIE,NAME_ENG,DIS_NAME_V,DIS_NAME_E,PRO_NAME_V,PRO_NAME_E
1010101,10101,101,Phường Phúc Xá,Phuc Xa,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010103,10101,101,Phường Nguyễn Trung Trực,Nguyen Trung Truc,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010105,10101,101,Phường Quán Thánh,Quan Thanh,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010107,10101,101,Phường Trúc Bạch,Truc Bach,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010109,10101,101,Phường Điện Biên,Dien Bien,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010111,10101,101,Phường Kim Mã,Kim Ma,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010113,10101,101,Phường Đội Cấn,Doi Can,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010114,10101,101,Phường Liễu Giai,Lieu Giai,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010115,10101,101,Phường Cống Vị,Cong Vi,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010116,10101,101,Phường Vĩnh Phúc,Vinh Phuc,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010117,10101,101,Phường Ngọc Khánh,Ngoc Khanh,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010119,10101,101,Phường Giảng Võ,Giang Vo,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010121,10101,101,Phường Ngọc Hà,Ngoc Ha,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010123,10101,101,Phường Thành Công,Thanh Cong,Quận Ba Đình,Ba Dinh,Hà Nội,Ha Noi
1010301,10103,101,Phường Bưởi,Buoi,Quận Tây Hồ,Tay Ho,Hà Nội,Ha Noi
1010303,10103,101,Phường Thụy Khuê,Thuy Khue,Quận Tây Hồ,Tay Ho,Hà Nội,Ha Noi
1010305,10103,101,Phường Yên Phụ,Yen Phu,Quận Tây Hồ,Tay Ho,Hà Nội,Ha Noi
1010307,10103,101,Phường Tứ Liên,Tu Lien,Quận Tây Hồ,Tay Ho,Hà Nội,Ha Noi
1010309,10103,101,Phường Nhật Tân,Nhat Tan,Quận Tây Hồ,Tay Ho,Hà Nội,Ha Noi
1010311,10103,101,Phường Quảng An,Quang An,Quận Tây Hồ,Tay Ho,Hà Nội,Ha Noi
1010313,10103,101,Phường Xuân La,Xuan La,Quận Tây Hồ,Tay Ho,Hà Nội,Ha Noi
1010315,10103,101,Phường Phú Thượng,Phu Thuong,Quận Tây Hồ,Tay Ho,Hà Nội,Ha Noi
